Brandon Relaz,"
Great 14"" laptop
","
Overall experience is great.Build quality is awesome.RGB keyboard lighting is perfect.Screen is QHD and very good. Not crazy bright but good enough.Performance is very good.Cooling in balanced settings is very quiet but if you crank the fans to maximum then a bit noisy but still acceptable. (could be annoying for other people though)CPU runs a bit hot (between 85-90) in balanced mode while gaming Valhalla in maximum settings (ambient temperature is 25) but in maximum fan mode temp. drops to 75-80.Keyboard is mediocre. Key travel is less and feels a bit mushy. Still not bad.I didn't measure the battery life but looks OK for a 14"" laptop. If you drop the refresh rate, screen resolution and the brightness you might get good results probably more than 6 hours.Very portable.Pricy but recommended if you have the budget.
",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on July 19, 2021"
Assault Kittens,"
The least amt of compromise i've seen in a gaming laptop ever
","
ryzen cpu = better battery than any razer laptoprtx 3070 = play any game at 1440p165hz refresh = sweet spot for even competitive gamingbuild quality = normal for razer, best out of any gaming laptopi/o = u can charge with usb c or the proprietary cable - amazingthink the only downside is that it will get sorta loud but not too out of the norm. makes sense cause moving a lot of air through small area.
",4.5 out of 5 stars,Verified Purchase,"Reviewed in the United States on June 18, 2021"
Kenneth Cramer,"
The best small form factor gaming laptop
","
The Blade 14 is the best laptop I have ever owned.Small enough to actually carry around without too much stress. Powerful enough to play the latest games. Sure, the fans sound like a vacuum if you aren't wearing headphones, but it's not that bad.Screen is fantastic, build quality is amazing.Wish razer would retire that stupid snake logo, but at least it can be covered up with a skin.
",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on July 7, 2021"
Patrick Cleath,"
Amazing Laptop!
","
I love having the ability to max out every game I want to play! I had two options; this laptop or an Xbox Series X. Seeing as I was more likely to get a free ticket to another galaxy than obtain a brand new Xbox Series X, I settled for the best of the best gaming laptop. This device does not disappoint! The build quality far surpasses the other manufacturers like Asus & Dell plus the 14"" size is perfect for those of us who travel for work on occasion. Sure the exhaust fans can, on occasion, make a little noise, but that's the price you pay for POWER! 🔥😎 Overall 110% love this laptop!
",1.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on June 27, 2021"
Syed,"
Perfect! I Love it!
","




                    The media could not be loaded.
                



 I ordered this laptop to be shipped overseas. I not only arrived 3 days earlier (without Prime), it also came with excellent packaging. This reassured me that the parcel arrived safe and sound.Very simple and discrete design (you can even turn off the green logo on the back if you prefer).Super Portable, ""physically speaking"" it's almost as compact as my older Macbook Pro Retina 2015.Great keyboard and trackpad (they fit just right for my medium-size hands :P )Excellent Battery Life, I got easily +3 hours running CAD programs, +6 hours with MS Office and Browsing.I'm an engineer by profession, so the past week I've been using Autocad, Multisim, Matlab, Visual and it has stayed cool and quiet the whole time.LastIy, I played some online Steam games (casually - L4D2, Borderlands 2, Rocket League) and it was quite good, considering this laptop has  a high-spec. configuration. (**Note: I am no ""hardcore"" gamer so I can't really give a useful opinion on this area, it was good by my standards)Overall, RAZER WELL DONE!! You just got yourselves a 100% Satisfied Customer :)).PS: Since the screen comes with a higher resolution capabilities, by default i comes with a small font size (tiny letters :3). Though the font size can be adjusted on Display Settings - so no complains here (this is more like an FYI).
",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on December 21, 2021"
Michael,"
Power in a pint size!
","
Love the size! Had a Blade 15 2020 model before and this Blade 14 is about 2/3 the size and weight, way more portable.Love the screen! QHD at 165Hz is without match at this size.Love the battery! Beats my older Blade 15's battery duration by about 4 hours more!Love the performance! Again when compared to my older Blade 15 Intel Core i7 10750H and Geforce RTX 2060, this Blade 14's hardware runs ring around it!Love the thermals! Temp on this one is way better managed and cooler than my older Blade 15!Get one, you won't regret it!!!
",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on December 1, 2021"
PAOLO,"
Absolutely love this thing
","
This laptop is pricey, but if you have the coins it’s a phenomenal purchase. I find the 14” screen to be the perfect size; text is still a good size, UI elements are clear, and overall it’s an immersive experience. I like the machine’s smaller footprint, so no complaints about screen size. In terms of performance, it handles anything I throw at it with ease. It definitely runs hot. Something I’ve noticed, though, is that one of the fans seems to sit right under the WASD keys on the keyboard. That area feels cool to the touch during heavy use. It seems like an intentional detail and it’s impressive. I absolutely love the look and feel. It’s sleek, mostly minimalistic (I could do with fewer bright green details) and overall it feels like a premium product. One nitpick is that I expected a more luxe unboxing experience at this price point. It’s a minor detail, so if you can’t tell I’m grasping at straws. This thing is awesome.
",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on November 28, 2021"
PAOLO,"
Incredible quality and beautiful gaming
","
I was somewhat concerned with the cooling ability (RTX 3070) but lying flat, it runs in the low-to-mid 70's. WIth the Razer stand I bought it stays in the 60's on max.The screen brightness appears much brighter than what it's rated. And surprisingly the cooling fans are much quieter than I thought they'd be.Overall this thing is a total beast and feels great. You get used to the 14"" screen quite fast. Razer does have the best quality out of the other seven gaming laptops I've owned in the past.
",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on July 21, 2021"
Artrosoft,"
Incredible performance in such a small chassis.
","
(3070 model) This thing can push a stable 225fps in Rocket League on maxed out graphics settings and maxed out resolution (2560x1440). Ill admit, the fans do sound like a jet engine, but if you are gaming in headphones, it is not an issue.
",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on November 15, 2021"
Artrosoft,"
Great Laptop!!
","
Screaming Fast! I love it! Things you should know, you’ll have to update windows to activate it. It will show as an unactivated until all the updates have been completed (and possibly sign into Razer Central app). Also download the NVIDIA’s driver app directly from the website to keep your GPU driver updated. This laptop is amazing, just keep it cool to prolong battery life. It has been a great purchase so far. Battery and Brightness are 4 out of 5 simply because the M1 Mac laptops have the 5 on that one. Build quality is 5 out of 5.
",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on January 17, 2022"
James Appleby,"
This thing is fast.
","
This laptop has all the speed you will want in a gaming laptop.  The battery life is a little low but when it is pushing the processor and graphics board it about on par with what to expect.
",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on February 2, 2022"
Assault Kittens,"
Razer's Superb Quality
","
It's my first Razer and I'm surprised at how premium it feels. I have an XPS 15 and this feels just as premium as that and the MacBooks with its unibody metal chassis. It also delivers insane gaming performance from a package so small. The 3070 model I have is only about 10% slower than the much bigger Asus ROG Zephyrus G15 with a 3080. The only complaints would that 16:9 aspect ratio, average speakers, terrible webcam, and the slightly mushy keys. Absolutely love the per-key RGB.
",4.5 out of 5 stars,Verified Purchase,"Reviewed in the United States on June 18, 2021"
Kenneth Cramer,"
The best a gaming laptop can get.
","
Pros:Unreasonably quiet for a 14” laptop with a 3070, but it’s not silentScreen is solidCons:Finger prints and grease magnetThe feet give it some height so it feels bigger than it is (not sure if this is a con)
",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on July 7, 2021"
Amazon Customer,"
Brand new Razer Blade 14 with a broken mouse pad
","
Received this gem but once I turned it on I realized that the track pad was super jumpy and unable to control. I tried downloading drivers again updating windows and synapse resetting the whole computer and still was unable to use the track pad. I also called support, just told me everything I already tried…. I plugged in my mouse and was able to game fine with no problem. I was really impressed  with the small monster. Great size too. I just wish the Ryzen processor was in a 15in variant because the only thing the 14in is lacking in my opinion is a SD slot and a extra SSD spot (which comes in the 15in blade)This 14in was my replacement for my 2019 razer blade pro 17 and I honestly feel that 15in advance model is the sweet spot. I honestly would have probably kept the 14in if it had one of my two wishes. I am not a fan on dongles or external SSD at all. I like to keep my travel set up clean as possible.I’m disappointed with razer and would advise anyone to get the 1-2 year plan for $300. It’s crazy to me how a brand new computer costing me $2300 would have a problem out the box and my last razer laptop from 2019 ($2500 + insurance) battery died after 2 years?? I love this company but disappointed with my purchases.
",1.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on June 30, 2021"
Amazon Customer,"
Almost perfect
","
Had this for about a month a half, and it's seriously fantastic. Only game I play is csgo, and I get anywhere from 180-400 fps, and I also use it for work as well. I only say almost perfect since it only comes with a 16gb of ram soldered on, but I'll wait for the next one that offers 32gb.
",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on December 6, 2021"
Divan,"
Great product
","
Using for work as long term solution
",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on July 1, 2021"
Herolist,"
I love him!
","
It's my first razer laptop and it's a blast.
",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on August 24, 2021"
Herolist,"
Battery life
","
If you want a portable gaming laptop this is it for you, but one thing you got to have in mind that your gonna need a charger, every where you go, but for studying and going to school it should be amazing up to 6-8 hrs.
",4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on July 21, 2021"
Andy ,"
Crazy!
","
I am a university student and this is perfect for me because I can use it to game and also use it to study/take it to class.
",4.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on June 25, 2021"
Irfan Sulejmani,"
Best laptop
","
It's an amazing pc. I bought it because i travel a lot and of course i like to play games. 10/10 best pc. Great resolution, i can play all the new games on high settings, but the only thing thats a downer is the sound of the fans. Its a laptop so its gonna get warm.
",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on September 13, 2021"
Bug,"
Powerful little gaming laptop
","
Compact, powerful specs, batter is so, so. What to expect on a gaming laptop. Wish there was a feature to switch between internal GPU and the discreet gtx3070 when i need. So far, happy with the purchase.
",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on January 5, 2022"
Assault Kittens,"
Poder compactado
","
Un equipo con una calidad de terminacion increible!, relamente es al dia de hoy (en el cual escribo la resena) el equipo mas potente y de menor tamano del mercado. Un equipo excelente en todo sentido y solo dos cosas que deberian mejorar la memoria RAM y el boton de encendido.
",4.5 out of 5 stars,Verified Purchase,"Reviewed in the United States on June 18, 2021"
Kenneth Cramer,"
Good for gaming
","
Thing is a powerhouse, just remember to keep it plugged in.
",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on July 7, 2021"
Adrian Girardi,"
laptop Review
","
laptop is good just gets really hot need to get one of the fan laptop table for it
",1.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on July 15, 2021"
TCrowNest,"
Solid Gaming laptop
","
This 14 inch laptop is great. Honestly the only thing that could be better is battery life for regular productivity tasks, but its still good.
",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on February 8, 2022"
joshua,"
Everything was good
","
My laptop works as expected. I had some audio problems when I first started it but updating the drivers got my audio working.
",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on May 23, 2022"
Axell,"
Way cooler then mac! amd is faster then m1 no doubt
","
only problem was the fan noise,but if you use head seat or use a monitor it wont be an issuse
",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on December 21, 2021"
Rony Rodrigo Maximiliano Rodríguez Ramírez,"
Razer needs to deliver Confidence to their buyers.
","
Review is for the middle tier RTX 3070.the GOOD:  Excellent design, well built, no doubt that this is a premium product.  As a cohesive unit, this product delivers.  It does come with minimal bloatware (thanks Razer).I just wish Razer fixes the following...the BAD:1-  $2,200 is a lot of money for a laptop. I wish Razer has as much confidence in its products as its customers. Offering a 1 year warranty doesn't do it for me. Statistically, a part of this laptop will fail in about 2 years.  Since everything is integrated, there is no way that we can replace anything.2- 16GB of RAM soldered.  Razer: if you wont allow your customers to upgrade RAM, offer 32GB3- Some games (Forza, Dirt 5) failed.  I don't know why, but I don't want to have to find out why.  Again, for this price point it should work out of the box.4-Web cam. barley good enough to use it for facial recognition to log in.  Video and Audio Quality is really bad and would not use it in an office/work (from home) environment.5- The power plug--this needs to be updated to USBC 2.1.  Razer had an opportunity to do that with this laptop, but stuck with their outdated proprietary plug.  This would alleviate the need to have multiple plugs when docked , and lugging around the huge power brick.the UGLY:  overall I do not feel confident enough to justify paying about $2,700 after taxes and insurance.  A college freshman, should be able to pick this up knowing that this laptop will provide the performance, power, and confidence to last all his 4 years of college.
",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on December 26, 2021"
FRNAK,"
Very Powerful for size
","
This is a great laptop with a few things that are just a small negative. For Background I returned the Asus G15 for lack of camera and not liking the screen and build quality. This machine I an very happy to be keeping since it has all these things even though the camera is not good quality. My only real negative I could say is the speaker quality is bad. The battery life is about 5-6hrs which is good for this type of laptop but not as good as my other laptops so will have to get used to plugging in more. The performance is crazy good for a 14 inch laptop. I got the 3070 version and think that is the sweet spot since the 3080 still runs on the same wattage and from reviews only gains max 10% performance which for 600 dollars more doesn't make much sense to buy. I am playing all games at full resolution and highest settings and this machine does amazing. I really like the keyboard and trackpad. Overall this is my ideal laptop- small, well built, and powerful. I docked one star for the poor speakers and poor webcam. Other machines have smaller bezels than this one and do these 2 things way better so they could have easily done better in these 2 ways. But the rest of the laptop is so good that I can take these few problems and still love this laptop!
",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on July 11, 2021"
Kayman,"
Really like this laptop, but it came as a dead unit
","




                    The media could not be loaded.
                



 Just received this unit and I was excited.  Everything looked perfect up to the point when I pressed the power button.  The unit would not powered up.  I hooked it up to its power brick but still no.  I called Amazon support and he issued me a refund right away.  I was hoping for a replacement unit but he simply told me to order it again because he couldn’t do replacement in his system.  Even though it didn’t power up, I really like the form factor.  The keyboard feels great and the case feel sturdy.  It was a disappointment but I will order it again when it becomes available.  (Just found out it was out of stock.)
",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on October 7, 2021"
Jeket,"
Four Stars
","
Truly a nice product, but overpriced in general. For example, the Asus Rog G14 (G15) usually have the same internals (i.e. rtx 30s with either the AMD or Intel CPU's) yet for lower prices. I could only sum it up to just the branding since razer is really popular with gamer elites. Really dislike not being able to upgrade the ram, which is due to the ram being integrated onto the MB for ""higher speeds"". Also a lack of a second slot for the memory capping you at a 2 terabyte. Now,  you could be adventurous and try upgrading to a 4 terabyte NVME SSD, but those are usually double sided leading to bends. Still a nice product to get done what I need it for. (Music Production)
",2.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on July 6, 2021"
Assault Kittens,"
Fingerprint Magnet, Heavy power brick
","
THE GOOD:- 8 Core Ryzen ""Zen 3"" based CPU.- Solid RTX 3070 100W mobile GPU.- The lightest ""gaming"" laptop I've been able to find (under 4 lbs).- High refresh rate 144p- Silent even when gaming- Does very well at gaming and productivity.- TONS of ports.- Decent battery life.THE BAD:- Memory timings are very poor.- Memory not replaceable.- Barebones BIOS.- No DisplayPort option.- The power brick weighs as much as the laptop (I will try and grab the exact weight and edit this review).THE UGLY:Fingerprint magnet. RAZER PLEASE FIX.THE LOWDOWN:If you can find this laptop for MSRP ($2,199.99) it is worth it. Just be ready to clean it regularly.
",4.5 out of 5 stars,Verified Purchase,"Reviewed in the United States on June 18, 2021"
Kenneth Cramer,"
Great machine, but with its flaws
","
Pros:- very portable, you can hold it with one hand and open the screen without having to pry it open with two hands- great for gaming- keyboard is practically the softest keyboards I've ever touched on a laptopCons:- battery life is abysmal, I think I get up to 2 hours or a bit more with light usage- I dont like where the power button is, because I use the delete button often too so I sometimes click the power button on accident- the speakers aren't that great. I can't even use them for my zoom calls on a moderate setting. It sounds so bad with speaker buffering noises if the volume is at more than half.- webcam quality is not so great, especially for a device that's supposed to be on the high endOverall, I think the only reason I bought this is because it's a very portable, fitted with a high end gpu into a small device. Other than that, the speakers, webcam, and battery are all on the lower end of the spectrum.There's are lots of cons I've found from owning it for quite some time now. I think that if it weren't for the portability of the device and the gpu, there's no reason to get this, especially for the price range. I don't think this would end up being my daily driver down the road. If there are other laptops that are portable 14"" or have better speakers/webcams, I would admit that I would put them into consideration for switching over (in terms of daily driver).
",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on July 7, 2021"
Richard C.,"
Razer's Subpar Support
","
I was very excited to receive this laptop. It worked great for some games, however others would crash the entire system. New and heavily graphics intensive games in particular ran fantastic. Games like Elder Scrolls Online and Genshin Impact however would run for 30 minutes before crashing to a blue screen if death. Initially I thought I had found a solution that worked for a few weeks but stopped working. That's fine, I thought, I'll just contact Razer support for a warranty claim. After a week or two weeks of emails, mostly due to them not responding quickly (greater than 24 hours) and when they did it seemed they did not read any previous emails, I got the go ahead to send it in for a free repair. That was two weeks ago. A week in I was informed that no hardware issues were found and that reimaging windows had fixed the problem after a series of tests. Cool, I had done that but if they are testing it and it's working I'm happy. I received daily emails saying they are waiting on shipping information. I do not mind waiting, but considering the repairs were complete and my product was ""working"" I was getting impatient. Two days ago I received an email saying they couldn't find a problem and to explain the issue. The issue explained several times at length and even caught on video in the very same support thread. I expressed my frustration and have not received any more emails. Considering the money I spent on this laptop, that did not work, and the support team that seemingly has no interest in supporting me, I cannot recommend anyone take a gamble on this product. If I ever receive the product and it is working as intended with its large price tag and great promises of performance, I will update this review to reflect more on the product. However, given the interactions with the Razer support team this product will always be a let down to me and thus deserving of a negative review.
",1.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on July 27, 2021"
Bee Lor,"
Faulty Trackpad. Bad Customer service from amazon
","
Let me start off by saying this machine is good, but I recieved a unit with a defective touchpad where several of my touch clicks werent registering. Defective units happen, but when I went to Amazon to issue a replacement device, it says it was unable to, and directed me to customer service. Customer service is an absolute mess and after speaking to 5 different people, I just got emails to return the device.Now I have to hope by the time of refund, the item is still in stock. This is a high demand item so I am hoping that it will be in stock so I can repurchase the item, but its ridiculous that they wont just issue a replacement.
",3.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on January 6, 2022"
James Armstrong,"
The little jet engine that could
","
This thing was a great little powerhouse of a machine. I bought it with the idea of using it for schoolwork and some gaming on the side when I want to hang out in the living room with my partner. This could run Lost Ark at a solid 60+FPS with no issues (though I couldnt figure out how to unlock the frames beyond that and didnt have it long enough to try). I ultimately returned the PC as it was way to loud for my preference. The thing sounded like a jet engine in my living room and wasnt a pleasant experience for anyone. The keys got very hot during gameplay. Standard gaming laptop stuff that I was hoping was fixed by now.
",3.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on November 12, 2021"
